número ,tratamento  ,Amostra,Pote,id ,parte_corpo part. Int.,int. segmento ,parte_corpo part. Frag.,frag. segmento ,local_tubo,microplastico,tipo,inteiro ,fragmentado,obs
91,C,A1,P5,Culicidae ,,,,,,ausente,,não ,não ,
92,C,A1,P5,Culicidae ,,,,,,ausente,,não ,não ,
93,C,A1,P5,Culicidae ,,,,,,ausente,,não ,não ,
94,C,A1,P5,Culicidae ,,,,,,ausente,,não ,não ,
95,C,A1,P5,Chironomidae,,,,,,ausente,,não ,não ,
96,C,A1,P5,Psychodidae,,,,,,ausente,,não ,não ,
97,T2,A2,P15,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7",tubo digestivo ,"1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
98,T1,A1,P9,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
99,T1,A1,P9,Ostracoda,,,,,,ausente,,não ,não ,
100,T1,A1,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
101,T1,A1,P9,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 4, 5",tubo digestivo ,"4, 5, 7, 8 ",anterior-medio-posterior,presente,int_frag,sim,sim,
102,T1,A1,P9,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 2, 3, 4, 7, 8",tubo digestivo ,"7, 8 ",anterior-medio-posterior,presente,int_frag,sim,sim,
103,T1,A1,P9,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 2, 3, 4, 5, 7, 8 ",tubo digestivo ,"7, 8 ",anterior-medio-posterior,presente,int_frag,sim,sim,
104,T1,A1,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8 ","tórax, tubo digestivo ","1, 2 ",anterior-medio-posterior,presente,int_frag,sim,sim,
105,T1,A1,P9,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 2, 4","tórax, tubo digestivo ","1, 2, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
106,T2,A2,P1,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
107,T2,A2,P1,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7","tórax, tubo digestivo ","1, 5, 6",anterior-medio-posterior,presente,int_frag,sim,sim,
108,T1,A1,P11,Chironomidae,tubo digestivo,"2, 3, 4, 10, 11, 12",tubo digestivo ,"2, 3, 4, 10, 11, 12",anterior-medio-posterior,presente,int_frag,sim,sim,
109,T1,A1,P11,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
110,T1,A1,P11,Culicidae ,tubo digestivo,"1, 2, 3, 4, 5, 6, 7, 8",,,anterior-medio-posterior,presente,inteiro,sim,não ,
111,T1,A1,P11,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8","cabeça, tórax, tubo digestivo","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
112,T1,A1,P11,Culicidae ,tórax,,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
113,T2,A1,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
114,T2,A1,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",tubo digestivo ,8,anterior-medio-posterior,presente,int_frag,sim,sim,
115,T2,A1,P9,Culicidae ,tórax ,,,,,presente,inteiro,sim,não ,
116,T2,A1,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 8",tubo digestivo ,"5, 4, 7, 8",medio-posterior,presente,int_frag,sim,sim,
117,T2,A1,P9,Psychodidae,tubo digestivo,,,,,presente,inteiro,sim,não ,
118,T2,A1,P9,Psychodidae,tubo digestivo,,,,,presente,inteiro,sim,não ,
119,C,A1,P8,Culicidae ,,,,,,ausente,,não,não ,
120,C,A1,P8,Culicidae ,,,,,,ausente,,não,não ,
121,C,A1,P8,Culicidae ,,,,,,ausente,,não,não ,
122,C,A1,P8,Chironomidae,,,,,,ausente,,não,não ,
123,C,A1,P8,Chironomidae,,,,,,ausente,,não,não ,
124,C,A1,P8,Ostracoda,,,,,,ausente,,não,não ,
125,C,A1,P8,Ostracoda,,,,,,ausente,,não,não ,
126,C,A1,P3,Culicidae ,,,,,,ausente,,não,não ,
127,C,A1,P10,Culicidae ,,,,,,ausente,,não,não ,
128,C,A1,P10,Psychodidae,,,,,,ausente,,não,não ,
129,C,A1,P10,Psychodidae,,,,,,ausente,,não,não ,
130,C,A1,P1,Psychodidae,,,,,,ausente,,não,não ,
131,C,A2,P13,Culicidae ,,,,,,ausente,,não,não ,
132,C,A2,P11,Culicidae ,,,,,,ausente,,não,não ,
133,C,A2,P11,Ostracoda,,,,,,ausente,,não,não ,
134,C,A2,P4,Psychodidae,,,,,,ausente,,não,não ,
135,C,A2,P4,Chironomidae,,,,,,ausente,,não,não ,
136,C,A2,P4,Chironomidae,,,,,,ausente,,não,não ,
137,C,A2,P4,Culicidae ,,,,,,ausente,,não,não ,
138,C,A2,P4,Ostracoda,,,,,,ausente,,não,não ,
139,C,A2,P14,Chironomidae,,,,,,ausente,,não,não ,
140,C,A2,P14,Ostracoda,,,,,,ausente,,não,não ,
141,C,A2,P14,Ceratopogonidae,,,,,,ausente,,não,não ,
142,T1,A2,P8,Culicidae ,tubo digestivo,8,tubo digestivo ,"1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
143,T1,A2,P8,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
144,T1,A2,P5,Culicidae ,"cabeça, tórax, tubo digestivo","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
145,T1,A2,P5,Chironomidae,"cabeça, tubo digestivo ",,,,,presente,inteiro,sim,não ,
146,T1,A2,P12,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 2, 3, 4, 5, 7, 8","tórax, tubo digestivo ","3, 4, 5, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
147,T1,A2,P12,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
148,T1,A2,P12,Chironomidae,tubo digestivo,"3, 4, 5, 6, 7, 8, 9",tubo digestivo ,9,anterior-medio-posterior,presente,int_frag,sim,sim,
149,T1,A2,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5","tórax, tubo digestivo ","1, 2, 3, 4, 5",anterior-medio,presente,int_frag,sim,sim,
150,T1,A2,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
151,T1,A2,P9,Culicidae ,,,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,fragmentado,não,sim,
152,T1,A2,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
153,T1,A2,P9,Ostracoda,,,região digestiva ,,,presente,fragmentado,não,sim,
154,T1,A2,P9,Ostracoda,,,região digestiva ,,,presente,fragmentado,não,sim,
155,T1,A2,P9,Ostracoda,região digestiva ,,,,,presente,inteiro,sim,não ,
156,T1,A3,P7,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
157,T1,A2,P7,Ostracoda,região digestiva ,,,,,presente,inteiro,sim,não ,
158,T2,A3,P1,Ostracoda,região digestiva ,,,,,presente,inteiro,sim,não ,
159,T2,A3,P1,Ostracoda,região digestiva ,,,,,presente,inteiro,sim,não ,
160,T1,A3,P3,Ostracoda,,,região digestiva ,,,presente,fragmentado,não,sim,
161,T1,A3,P5,Chironomidae,tubo digestivo,"3, 4, 5, 10",,,anterior-medio,presente,inteiro,sim,não ,
162,C,A2,P12,Anelídeo,,,,,,ausente,,não ,não ,
163,C,A2,P12,Anelídeo,,,,,,ausente,,não ,não ,
164,C,A2,P12,Anelídeo,,,,,,ausente,,não ,não ,
165,C,A2,P12,Anelídeo,,,,,,ausente,,não ,não ,
166,C,A2,P12,Anelídeo,,,,,,ausente,,não ,não ,
167,C,A2,P12,Anelídeo,,,,,,ausente,,não ,não ,
168,T1,A3,P1,Culicidae ,"cabeça, tórax, tubo digestivo","1, 2, 3, 5, 6, 7, 8 ","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8 ",anterior-medio-posterior,presente,int_frag,sim,sim,
169,T1,A3,P1,Culicidae ,"cabeça, tórax, tubo digestivo","2, 3, 4, 5, 6, 7, 8 ","tórax, tubo digestivo ","2, 3, 4, 5, 6, 7, 8 ",anterior-medio-posterior,presente,int_frag,sim,sim,
170,T1,A3,P6,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8 ","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8 ",anterior-medio-posterior,presente,int_frag,sim,sim,
171,C,A2,P3,Culicidae ,,,,,,ausente,,não,não ,
172,C,A2,P3,Culicidae ,,,,,,ausente,,não,não ,
173,C,A2,P3,Culicidae ,,,,,,ausente,,não,não ,
174,C,A2,P3,Chironomidae,,,,,,ausente,,não,não ,
175,C,A2,P3,Ostracoda,,,,,,ausente,,não,não ,
176,T1,A3,P4,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
177,T1,A3,P9,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
178,T1,A3,P9,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
179,T1,A3,P9,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
180,T1,A3,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 7, 8","tórax, tubo digestivo ","4, 5, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
181,T2,A2,P7,Psychodidae,tubo digestivo,,,,,presente,inteiro,sim,não ,
182,T2,A2,P7,Chironomidae,tubo digestivo,"1, 2, 3, 4, 5, 6, 7, 8 ",tubo digestivo ,12,anterior-medio-posterior,presente,int_frag,sim,sim,
183,C,A2,P8,Ceratopogonidae,,,,,,ausente ,,não,não ,
184,C,A2,P8,Chironomidae,,,,,,ausente ,,não,não ,
185,C,A2,P8,Ostracoda,,,,,,ausente ,,não,não ,
186,C,A2,P8,Ostracoda,,,,,,ausente ,,não,não ,
187,C,A2,P8,Ostracoda,,,,,,ausente ,,não,não ,
188,C,A2,P8,Ostracoda,,,,,,ausente ,,não,não ,
189,T2,A2,P6,Psychodidae,tubo digestivo,,tubo digestivo,,,presente,,sim,sim,
190,T2,A2,P13,Culicidae ,"tórax, tubo digestivo ","1, 3, 4, 5, 6, 7, 8 ",tubo digestivo,"1, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
191,T2,A2,P13,Chironomidae,tubo digestivo,2,tubo digestivo,"4, 5",anterior-medio,presente,int_frag,sim,sim,
192,C,A2,P7,Chironomidae,,,,,,ausente ,,não,não ,
193,C,A2,P7,Chironomidae,,,,,,ausente ,,não,não ,
194,C,A2,P7,Ostracoda,,,,,,ausente ,,não,não ,
195,C,A2,P7,Culicidae ,,,,,,ausente ,,não,não ,
196,C,A2,P2,Chironomidae,,,,,,ausente ,,não,não ,
197,T1,A2,P2,Culicidae ,"cabeça, tórax, tubo digestivo","1, 2, 3, 4, 5, 6, 7, 8 ","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8 ",anterior-medio-posterior,presente,int_frag,sim,sim,
198,C,A2,P1,Ostracoda,,,,,,ausente,,não ,não,
199,C,A2,P1,Ostracoda,,,,,,ausente,,não ,não,
200,C,A3,P11,Ostracoda,,,,,,ausente,,não ,não,
201,T2,A2,P9,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8 ","tórax, tubo digestivo ","1, 8, 7",anterior-medio-posterior,presente,int_frag,sim,sim,
202,C,A2,P5,Culicidae ,,,,,,ausente,,não,não,
203,T2,A2,P2,ostracoda,região digestiva ,,,,,presente,inteiro,sim,não ,
204,C,A2,P6,Culicidae ,,,,,,ausente,,não ,não ,
205,C,A2,P6,Culicidae ,,,,,,ausente,,não ,não ,
206,C,A2,P6,Culicidae ,,,,,,ausente,,não ,não ,
207,C,A2,P6,Chironomidae,,,,,,ausente,,não ,não ,
208,C,A2,P6,Chironomidae,,,,,,ausente,,não ,não ,
209,C,A2,P6,Ostracoda,,,,,,ausente,,não ,não ,
210,C,A2,P6,Ostracoda,,,,,,ausente,,não ,não ,
211,C,A2,P6,Ostracoda,,,,,,ausente,,não ,não ,
212,C,A2,P6,Ostracoda,,,,,,ausente,,não ,não ,
213,T1,A1,P10,Chironomidae,tubo digestivo,"1, 2, 12",,,anterior-posterior ,presente,,sim,não ,
214,T1,A3,P11,Culicidae ,"cabeça, tórax, tubo digestivo","3, 4, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
215,T2,A3,P13,Psychodidae,tubo digestivo,,,,anterior-medio-posterior,presente,inteiro,sim,não,
216,T2,A2,P10,Ostracoda,,,,,,ausente,,não ,não ,
217,T2,A2,P10,Psychodidae,tubo digestivo,,tubo digestivo,,,presente,int_frag,sim,sim,
218,T2,A2,P10,Psychodidae,tubo digestivo,,tubo digestivo,,,presente,int_frag,sim,sim,
219,T2,A2,P10,Culicidae ,"cabeça, tórax, tubo digestivo"," 2, 3, 4, 5, 6, 7, 8 ",tubo digestivo,"1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
220,T2,A2,P10,Culicidae ,"cabeça, tórax, tubo digestivo"," 1, 2, 3, 4, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
221,T2,A2,P10,Culicidae ,"cabeça, tórax, tubo digestivo","1, 2, 3, 8","tórax, tubo digestivo ","1, 2, 3, 5, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
222,T1,A3,P14,Ostracoda,no corpo,,região digestiva ,,,presente,int_frag,sim,sim,
223,T1,A3,P12,Ostracoda,no corpo,,região digestiva ,,,presente,int_frag,sim,sim,
224,T1,A3,P12,Chironomidae,tubo digestivo,"1, 2, 3, 4, 7, 11",tubo digestivo,"4, 5, 6, 7, 8, 9, 10, 11",anterior-medio-posterior,presente,int_frag,sim,sim,
225,T1,A3,P12,Culicidae ,"cabeça, tórax, tubo digestivo","1, 2, 3, 4, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
226,T1,A3,P12,Culicidae ,"cabeça, tórax, tubo digestivo"," 1, 2, 3, 4, 6, 7","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
227,T2,A2,P4,Chironomidae,tubo digestivo,"4, 5, 6, 7, 8",,,,presente,inteiro,sim,não ,
228,T2,A2,P5,Psychodidae,tubo digestivo,,,,,presente,inteiro,sim,não ,
229,T2,A2,P5,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
230,C,A2,P9,Chironomidae,,,,,,ausente,,não ,não,
231,C,A2,P9,Chironomidae,,,,,,ausente,,não ,não,
232,C,A2,P9,Chironomidae,,,,,,ausente,,não ,não,
